iter	Passed	Remaining
471	699	781
472	701	781
473	702	779
474	703	777
475	704	775
476	705	773
477	706	771
478	707	769
479	708	767
480	709	765
481	710	763
482	711	761
483	712	759
484	713	757
485	714	756
486	716	754
487	717	752
488	718	750
489	719	748
490	720	746
491	721	744
492	722	742
493	723	740
494	724	738
495	725	736
496	726	734
497	727	732
498	728	730
499	729	729
500	730	727
501	731	725
502	732	724
503	733	722
504	734	720
505	735	718
506	736	716
507	737	714
508	738	712
509	739	710
510	740	708
511	741	707
512	742	705
513	744	703
514	745	702
515	746	700
516	747	698
517	748	696
518	749	694
519	750	692
520	751	690
521	752	688
522	753	687
523	754	685
524	755	683
525	756	681
526	757	679
527	758	678
528	760	676
529	761	675
530	762	673
531	763	671
532	764	669
533	765	667
534	766	666
535	767	664
536	768	662
537	769	660
538	770	658
539	771	656
540	772	655
541	773	653
542	774	651
543	775	650
544	776	648
545	777	646
546	778	644
547	779	642
548	780	641
549	781	639
550	782	637
551	783	635
552	784	634
553	785	632
554	786	630
555	787	628
556	788	627
557	789	625
558	791	624
559	792	622
560	793	620
561	794	619
562	795	617
563	796	615
564	797	614
565	798	612
566	799	610
567	800	609
568	801	607
569	803	606
570	804	604
571	805	603
572	806	601
573	807	599
574	808	597
575	809	596
576	810	594
577	811	592
578	812	591
579	813	589
580	814	587
581	815	585
582	816	584
583	817	582
584	818	580
585	820	579
586	821	577
587	822	575
588	823	574
589	824	572
590	825	571
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	561
597	832	559
598	833	557
599	834	556
600	835	554
601	836	553
602	837	551
603	838	549
604	839	548
605	841	547
606	842	545
607	843	544
608	845	542
609	846	541
610	847	539
611	848	538
612	849	536
613	850	534
614	851	533
615	852	531
616	854	530
617	855	528
618	856	527
619	857	525
620	858	523
621	859	522
622	860	520
623	862	519
624	863	517
625	864	516
626	865	514
627	866	513
628	867	511
629	868	510
630	870	508
631	871	507
632	872	506
633	874	504
634	875	503
635	876	501
636	878	500
637	879	498
638	880	497
639	881	495
640	882	494
641	884	493
642	885	491
643	886	489
644	887	488
645	889	487
646	890	485
647	891	484
648	893	483
649	894	481
650	895	480
651	897	478
652	898	477
653	899	476
654	901	474
655	902	473
656	904	472
657	905	470
658	907	469
659	908	467
660	909	466
661	910	465
662	912	463
663	913	462
664	914	460
665	916	459
666	917	457
667	918	456
668	919	455
669	921	453
670	923	452
671	925	451
672	926	450
673	928	449
674	929	447
675	930	446
676	932	444
677	933	443
678	934	441
679	937	441
680	941	441
681	943	439
682	945	438
683	947	437
684	948	436
685	950	434
686	952	433
687	954	432
688	956	431
689	958	430
690	960	429
691	961	427
692	963	426
693	964	425
694	968	424
695	969	423
696	971	422
697	973	421
698	974	419
699	975	418
700	977	416
701	978	415
702	981	414
703	982	413
704	983	411
705	984	410
706	985	408
707	986	407
708	988	405
709	989	404
710	990	402
711	992	401
712	993	399
713	995	398
714	996	397
715	998	396
716	999	394
717	1000	393
718	1002	391
719	1003	390
720	1004	388
721	1005	387
722	1006	385
723	1007	384
724	1008	382
725	1009	381
726	1010	379
727	1012	378
728	1013	376
729	1014	375
730	1015	373
731	1016	372
732	1017	370
733	1018	369
734	1019	367
735	1020	366
736	1021	364
737	1023	363
738	1024	361
739	1025	360
740	1026	358
741	1027	357
742	1028	355
743	1029	354
744	1030	352
745	1032	351
746	1033	349
747	1034	348
748	1042	349
749	1046	348
750	1047	347
751	1048	345
752	1050	344
753	1054	343
754	1055	342
755	1057	341
756	1058	339
757	1059	338
758	1061	336
759	1062	335
760	1065	334
761	1066	333
762	1068	331
763	1069	330
764	1071	329
765	1073	327
766	1074	326
767	1076	325
768	1078	323
769	1079	322
770	1081	321
771	1084	320
772	1086	318
773	1087	317
774	1090	316
775	1091	315
776	1093	313
777	1094	312
778	1096	311
779	1097	309
780	1099	308
781	1101	306
782	1102	305
783	1104	304
784	1105	302
785	1107	301
786	1108	299
787	1109	298
788	1110	297
789	1112	295
790	1113	294
791	1115	292
792	1116	291
793	1117	289
794	1118	288
795	1120	287
796	1121	285
797	1122	284
798	1123	282
799	1124	281
800	1126	279
801	1127	278
802	1130	277
803	1132	276
804	1139	276
805	1147	276
806	1149	274
807	1151	273
808	1152	272
809	1154	270
810	1155	269
811	1157	267
812	1158	266
813	1159	265
814	1161	263
815	1162	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1168	254
821	1169	253
822	1170	251
823	1171	250
824	1173	248
825	1175	247
826	1176	246
827	1177	244
828	1178	243
829	1179	241
830	1180	240
831	1181	238
832	1182	237
833	1183	235
834	1184	234
835	1186	232
836	1187	231
837	1188	229
838	1189	228
839	1191	226
840	1192	225
841	1193	223
842	1194	222
843	1195	221
844	1196	219
845	1198	218
846	1199	216
847	1200	215
848	1201	213
849	1203	212
850	1204	210
851	1205	209
852	1206	208
853	1207	206
854	1209	205
855	1210	203
856	1211	202
857	1212	200
858	1213	199
859	1214	197
860	1215	196
861	1216	194
862	1217	193
863	1219	191
864	1220	190
865	1221	189
866	1223	187
867	1224	186
868	1225	184
869	1226	183
870	1227	181
871	1228	180
872	1229	178
873	1230	177
874	1231	175
875	1232	174
876	1233	172
877	1234	171
878	1235	170
879	1236	168
880	1237	167
881	1238	165
882	1239	164
883	1240	162
884	1242	161
885	1243	159
886	1244	158
887	1245	157
888	1246	155
889	1247	154
890	1248	152
891	1249	151
892	1251	149
893	1252	148
894	1253	147
895	1254	145
896	1255	144
897	1256	142
898	1257	141
899	1258	139
900	1259	138
901	1260	136
902	1261	135
903	1262	134
904	1263	132
905	1265	131
906	1266	129
907	1267	128
908	1268	126
909	1269	125
910	1270	124
911	1271	122
912	1272	121
913	1273	119
914	1274	118
915	1275	116
916	1276	115
917	1277	114
918	1278	112
919	1280	111
920	1281	109
921	1282	108
922	1283	107
923	1284	105
924	1285	104
925	1286	102
926	1287	101
927	1288	100
928	1290	98
929	1291	97
930	1292	95
931	1293	94
932	1294	92
933	1296	91
934	1297	90
935	1298	88
936	1299	87
937	1300	85
938	1301	84
939	1302	83
940	1303	81
941	1304	80
942	1305	78
943	1307	77
944	1308	76
945	1310	74
946	1311	73
947	1312	71
948	1313	70
949	1314	69
950	1315	67
951	1316	66
952	1317	64
953	1318	63
954	1319	62
955	1320	60
956	1321	59
957	1322	57
958	1324	56
959	1325	55
960	1326	53
961	1327	52
962	1329	51
963	1330	49
964	1331	48
965	1332	46
966	1333	45
967	1335	44
968	1336	42
969	1337	41
970	1339	39
971	1340	38
972	1341	37
973	1342	35
974	1343	34
975	1344	33
976	1345	31
977	1346	30
978	1347	28
979	1348	27
980	1349	26
981	1351	24
982	1353	23
983	1354	22
984	1355	20
985	1356	19
986	1357	17
987	1358	16
988	1359	15
989	1361	13
990	1362	12
991	1363	10
992	1364	9
993	1365	8
994	1366	6
995	1368	5
996	1369	4
997	1370	2
998	1371	1
999	1372	0
